,Link_ID,Origin_ID,Destination_ID
880,1390,4383,4384
881,1391,2412,2411
882,1392,2411,2409
883,1393,2411,2412
884,1394,2407,2406
885,1395,2406,2407
886,1396,2406,2405
887,1397,2405,2406
888,1398,4400,2902
889,1399,2902,4400
890,1400,2925,2918
891,1401,2918,2925
892,1402,4562,4561
893,1403,4561,4562
894,1404,4561,4560
895,1405,4560,4561
896,1406,4560,2932
897,1407,2932,4560
898,1409,2305,2302
899,1410,4883,4881
900,1411,4881,4883
901,1412,4909,2405
902,1414,200,270
903,1415,270,200
904,1416,270,203
905,1417,203,270
906,1418,203,604
907,1420,604,530
908,1421,530,604
909,1422,203,400
910,1423,400,203
911,1428,196,198
912,1429,198,196
913,1430,198,200
914,1431,200,198
915,1434,3527,3507
916,1435,3507,3527
917,1436,1157,5255
918,1437,5255,1157
919,1438,5092,5253
920,1439,5253,5092
921,1440,4001,4002
922,1441,4002,4001
923,1442,4002,4660
924,1443,4660,4002
925,1444,5255,5092
926,1445,5092,5255
927,1448,3304,3308
928,1449,3308,3304
929,1450,3304,2101
930,1451,2101,3304
931,1452,3653,2328
932,1453,2328,3653
933,1454,4951,2507
934,1455,2507,4951
935,1456,4625,4617
936,1457,4617,4625
937,1474,4883,4912
938,1475,4912,4883
939,1476,4198,3513
940,1477,3513,4198
941,1480,3012,3428
942,1482,1701,1700
943,1483,1700,1701
944,1484,1700,1698
945,1485,1698,1700
946,1486,1698,1699
947,1487,1699,1698
948,1488,1699,1697
949,1489,1697,1699
950,1490,1697,3696
951,1491,3696,1697
952,1492,4001,3891
953,1493,3891,4001
954,1494,3891,4000
955,1495,4000,3891
956,1496,4000,2862
957,1497,2862,4000
958,1498,3390,3393
